"Id","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Y10","Y11","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","X1","TCOV1","TCOV2","TCOV3","TCOV4","TCOV5","TCOV6","TCOV7","TCOV8","TCOV9","TCOV10","TCOV11","gr"
1,0.134858604639645,2.89281027215739,2.9409702464722,2.36923887029531,3.38883637020589,2.35005379844834,3.19715511763702,3.22098120136063,3.30212316993552,3.82681930253312,1.58115014731697,0,1,2,3,4,5,6,7,8,9,10,0.03,1,1,1,1,1,1,1,1,0,0,0,2
2,0,2.8012898454417,3.28412506360767,2.27087868935625,3.54636092214947,3.85897969105679,3.7635120809295,3.16035576048365,3.08569221577579,2.60532226420367,2.99250609543975,0,1,2,3,4,5,6,7,8,9,10,0.97,0,1,1,1,1,1,1,0,0,1,0,2
3,0.340656195944322,2.55546297266847,4.32700501267205,0.912995068793282,3.5521184547162,2.27301023808525,3.26855939822527,2.79160842630877,2.79449630373776,2.75490233366444,4.53951543512708,0,1,2,3,4,5,6,7,8,9,10,0.31,1,0,1,0,1,0,1,0,0,1,0,2
4,0,2.66525891745146,2.04970681612053,3.19186008975002,2.75252881757506,1.79377458868221,2.18471114999455,2.1891582233075,3.8125792448815,3.5372157839611,3.49846513904671,0,1,2,3,4,5,6,7,8,9,10,0.62,0,0,0,1,0,0,1,0,0,0,0,2
5,0,1.0303379045755,2.06106871624599,1.63453668350778,2.75431865151465,2.01414319015846,2.77480155904625,1.90339323003963,3.09526935900243,3.40927595958628,3.35206603724834,0,1,2,3,4,5,6,7,8,9,10,0.58,1,1,1,0,1,1,1,0,1,1,0,4
6,0.341005143312096,2.14822320508153,1.88369477822192,2.03301189386004,3.0681708338219,2.69625305251593,1.62016994467881,1.84318262051124,2.22148827404052,3.04658688981198,2.82784340168547,0,1,2,3,4,5,6,7,8,9,10,0.82,0,0,1,0,1,1,0,1,0,1,1,2
7,0.768815005199573,3.82136961019782,2.98582897042199,1.85300910172079,1.78476049131438,3.30471757223913,2.65949910067619,3.01147851121037,1.60655839443624,2.3711939217047,2.16190168498244,0,1,2,3,4,5,6,7,8,9,10,0.06,0,0,0,0,0,1,1,0,1,1,0,2
8,0.222751528833787,3.45492827347637,3.60788203786772,3.21779530569298,3.45440960821241,3.46428398820724,3.96580394547169,3.64628845925009,3.28522458010272,3.57914171509851,3.93205308147592,0,1,2,3,4,5,6,7,8,9,10,0.81,0,0,1,1,1,0,1,0,1,1,0,1
9,0.164614363025073,1.05839836617046,1.72225522372621,2.58028800943847,2.02738628866939,2.52369884879997,3.13072210049003,2.91862863303357,2.90164568000502,3.40382994239887,3.54534473887744,0,1,2,3,4,5,6,7,8,9,10,0.17,1,0,0,1,0,0,1,1,0,0,1,4
10,0,1.8938885662988,1.68526523917631,1.95234312647141,1.8728814695055,2.35206816731282,3.13415804452158,2.61760513844554,2.94208645623031,2.30848801471086,2.37624672732924,0,1,2,3,4,5,6,7,8,9,10,0.71,0,0,1,0,1,0,0,1,1,0,0,4
